Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
zip code 10463,,264,,zip code 10463,2018,Number,71360.0,10463,264,Unknown,,16865242,2382,11929,787156
zip code 10464,,264,,zip code 10464,2018,Number,4434.0,10464,264,Unknown,,16865242,2382,11929,787156
zip code 10465,,264,,zip code 10465,2018,Number,44205.0,10465,264,Unknown,,16865242,2382,11929,787156
zip code 10466,,264,,zip code 10466,2018,Number,72479.0,10466,264,Unknown,,16865242,2382,11929,787156
zip code 10467,,264,,zip code 10467,2018,Number,103732.0,10467,264,Unknown,,16865242,2382,11929,787156
zip code 10468,,264,,zip code 10468,2018,Number,78647.0,10468,264,Unknown,,16865242,2382,11929,787156
zip code 10469,,264,,zip code 10469,2018,Number,73870.0,10469,264,Unknown,,16865242,2382,11929,787156
zip code 10470,,264,,zip code 10470,2018,Number,15432.0,10470,264,Unknown,,16865242,2382,11929,787156
zip code 10471,,264,,zip code 10471,2018,Number,21896.0,10471,264,Unknown,,16865242,2382,11929,787156
zip code 10472,,264,,zip code 10472,2018,Number,68796.0,10472,264,Unknown,,16865242,2382,11929,787156
zip code 10473,,264,,zip code 10473,2018,Number,59609.0,10473,264,Unknown,,16865242,2382,11929,787156
zip code 10474,,264,,zip code 10474,2018,Number,12127.0,10474,264,Unknown,,16865242,2382,11929,787156
zip code 10475,,264,,zip code 10475,2018,Number,43208.0,10475,264,Unknown,,16865242,2382,11929,787156
zip code 11001,,264,,zip code 11001,2018,Number,27867.0,11001,264,Unknown,,16865242,2382,11929,787156
zip code 11004,,264,,zip code 11004,2018,Number,15234.0,11004,264,Unknown,,16865242,2382,11929,787156
zip code 11005,,264,,zip code 11005,2018,Number,1749.0,11005,264,Unknown,,16865242,2382,11929,787156
zip code 11040,,264,,zip code 11040,2018,Number,41877.0,11040,264,Unknown,,16865242,2382,11929,787156
zip code 11096,,264,,zip code 11096,2018,Number,8311.0,11096,264,Unknown,,16865242,2382,11929,787156
zip code 11101,,264,,zip code 11101,2018,Number,30043.0,11101,264,Unknown,,16865242,2382,11929,787156
zip code 11102,,264,,zip code 11102,2018,Number,30800.0,11102,264,Unknown,,16865242,2382,11929,787156
zip code 11103,,264,,zip code 11103,2018,Number,36140.0,11103,264,Unknown,,16865242,2382,11929,787156
zip code 11104,,264,,zip code 11104,2018,Number,26119.0,11104,264,Unknown,,16865242,2382,11929,787156
zip code 11105,,264,,zip code 11105,2018,Number,37382.0,11105,264,Unknown,,16865242,2382,11929,787156
zip code 11106,,264,,zip code 11106,2018,Number,38363.0,11106,264,Unknown,,16865242,2382,11929,787156
zip code 11109,,264,,zip code 11109,2018,Number,5981.0,11109,264,Unknown,,16865242,2382,11929,787156
zip code 11201,,264,,zip code 11201,2018,Number,62823.0,11201,264,Unknown,,16865242,2382,11929,787156
zip code 11203,,264,,zip code 11203,2018,Number,75451.0,11203,264,Unknown,,16865242,2382,11929,787156
zip code 11204,,264,,zip code 11204,2018,Number,76978.0,11204,264,Unknown,,16865242,2382,11929,787156
zip code 11205,,264,,zip code 11205,2018,Number,46064.0,11205,264,Unknown,,16865242,2382,11929,787156
zip code 11206,,264,,zip code 11206,2018,Number,88349.0,11206,264,Unknown,,16865242,2382,11929,787156
zip code 11207,,264,,zip code 11207,2018,Number,91972.0,11207,264,Unknown,,16865242,2382,11929,787156
zip code 11208,,264,,zip code 11208,2018,Number,98660.0,11208,264,Unknown,,16865242,2382,11929,787156
zip code 11209,,264,,zip code 11209,2018,Number,67809.0,11209,264,Unknown,,16865242,2382,11929,787156
zip code 11210,,264,,zip code 11210,2018,Number,67040.0,11210,264,Unknown,,16865242,2382,11929,787156
zip code 11211,,264,,zip code 11211,2018,Number,102624.0,11211,264,Unknown,,16865242,2382,11929,787156
zip code 11212,,264,,zip code 11212,2018,Number,76527.0,11212,264,Unknown,,16865242,2382,11929,787156
zip code 11213,,264,,zip code 11213,2018,Number,66295.0,11213,264,Unknown,,16865242,2382,11929,787156
zip code 11214,,264,,zip code 11214,2018,Number,92946.0,11214,264,Unknown,,16865242,2382,11929,787156
zip code 11215,,264,,zip code 11215,2018,Number,70156.0,11215,264,Unknown,,16865242,2382,11929,787156
zip code 11216,,264,,zip code 11216,2018,Number,56308.0,11216,264,Unknown,,16865242,2382,11929,787156
zip code 11217,,264,,zip code 11217,2018,Number,41407.0,11217,264,Unknown,,16865242,2382,11929,787156
zip code 11218,,264,,zip code 11218,2018,Number,74508.0,11218,264,Unknown,,16865242,2382,11929,787156
zip code 11219,,264,,zip code 11219,2018,Number,90036.0,11219,264,Unknown,,16865242,2382,11929,787156
zip code 11220,,264,,zip code 11220,2018,Number,95643.0,11220,264,Unknown,,16865242,2382,11929,787156
zip code 11221,,264,,zip code 11221,2018,Number,83835.0,11221,264,Unknown,,16865242,2382,11929,787156
zip code 11222,,264,,zip code 11222,2018,Number,36492.0,11222,264,Unknown,,16865242,2382,11929,787156
zip code 11223,,264,,zip code 11223,2018,Number,81789.0,11223,264,Unknown,,16865242,2382,11929,787156
zip code 11224,,264,,zip code 11224,2018,Number,46707.0,11224,264,Unknown,,16865242,2382,11929,787156
zip code 11225,,264,,zip code 11225,2018,Number,58882.0,11225,264,Unknown,,16865242,2382,11929,787156
zip code 11226,,264,,zip code 11226,2018,Number,100277.0,11226,264,Unknown,,16865242,2382,11929,787156
zip code 11228,,264,,zip code 11228,2018,Number,44994.0,11228,264,Unknown,,16865242,2382,11929,787156
zip code 11229,,264,,zip code 11229,2018,Number,83615.0,11229,264,Unknown,,16865242,2382,11929,787156
zip code 11230,,264,,zip code 11230,2018,Number,89075.0,11230,264,Unknown,,16865242,2382,11929,787156
zip code 11231,,264,,zip code 11231,2018,Number,37845.0,11231,264,Unknown,,16865242,2382,11929,787156
zip code 11232,,264,,zip code 11232,2018,Number,27602.0,11232,264,Unknown,,16865242,2382,11929,787156
zip code 11233,,264,,zip code 11233,2018,Number,76819.0,11233,264,Unknown,,16865242,2382,11929,787156
zip code 11234,,264,,zip code 11234,2018,Number,95666.0,11234,264,Unknown,,16865242,2382,11929,787156
zip code 11235,,264,,zip code 11235,2018,Number,78128.0,11235,264,Unknown,,16865242,2382,11929,787156
zip code 11236,,264,,zip code 11236,2018,Number,100331.0,11236,264,Unknown,,16865242,2382,11929,787156
zip code 11237,,264,,zip code 11237,2018,Number,49310.0,11237,264,Unknown,,16865242,2382,11929,787156
zip code 11238,,264,,zip code 11238,2018,Number,54540.0,11238,264,Unknown,,16865242,2382,11929,787156
zip code 11239,,264,,zip code 11239,2018,Number,13244.0,11239,264,Unknown,,16865242,2382,11929,787156
zip code 11354,,264,,zip code 11354,2018,Number,55200.0,11354,264,Unknown,,16865242,2382,11929,787156
zip code 11355,,264,,zip code 11355,2018,Number,80853.0,11355,264,Unknown,,16865242,2382,11929,787156
zip code 11356,,264,,zip code 11356,2018,Number,23362.0,11356,264,Unknown,,16865242,2382,11929,787156
zip code 11357,,264,,zip code 11357,2018,Number,39902.0,11357,264,Unknown,,16865242,2382,11929,787156
zip code 11358,,264,,zip code 11358,2018,Number,37190.0,11358,264,Unknown,,16865242,2382,11929,787156
zip code 11359,,264,,zip code 11359,2018,Number,0.0,11359,264,Unknown,,16865242,2382,11929,787156
zip code 11360,,264,,zip code 11360,2018,Number,19621.0,11360,264,Unknown,,16865242,2382,11929,787156
zip code 11361,,264,,zip code 11361,2018,Number,27246.0,11361,264,Unknown,,16865242,2382,11929,787156
zip code 11362,,264,,zip code 11362,2018,Number,18721.0,11362,264,Unknown,,16865242,2382,11929,787156
zip code 11363,,264,,zip code 11363,2018,Number,6952.0,11363,264,Unknown,,16865242,2382,11929,787156
zip code 11364,,264,,zip code 11364,2018,Number,36806.0,11364,264,Unknown,,16865242,2382,11929,787156
zip code 11365,,264,,zip code 11365,2018,Number,44983.0,11365,264,Unknown,,16865242,2382,11929,787156
zip code 11366,,264,,zip code 11366,2018,Number,14650.0,11366,264,Unknown,,16865242,2382,11929,787156
zip code 11367,,264,,zip code 11367,2018,Number,41824.0,11367,264,Unknown,,16865242,2382,11929,787156
zip code 11368,,264,,zip code 11368,2018,Number,112425.0,11368,264,Unknown,,16865242,2382,11929,787156
zip code 11369,,264,,zip code 11369,2018,Number,34118.0,11369,264,Unknown,,16865242,2382,11929,787156
zip code 11370,,264,,zip code 11370,2018,Number,32514.0,11370,264,Unknown,,16865242,2382,11929,787156
zip code 11371,,264,,zip code 11371,2018,Number,0.0,11371,264,Unknown,,16865242,2382,11929,787156
zip code 11372,,264,,zip code 11372,2018,Number,61844.0,11372,264,Unknown,,16865242,2382,11929,787156
zip code 11373,,264,,zip code 11373,2018,Number,93967.0,11373,264,Unknown,,16865242,2382,11929,787156
zip code 11374,,264,,zip code 11374,2018,Number,42653.0,11374,264,Unknown,,16865242,2382,11929,787156
zip code 11375,,264,,zip code 11375,2018,Number,73488.0,11375,264,Unknown,,16865242,2382,11929,787156
zip code 11377,,264,,zip code 11377,2018,Number,86421.0,11377,264,Unknown,,16865242,2382,11929,787156
zip code 11378,,264,,zip code 11378,2018,Number,37279.0,11378,264,Unknown,,16865242,2382,11929,787156
zip code 11379,,264,,zip code 11379,2018,Number,37851.0,11379,264,Unknown,,16865242,2382,11929,787156
zip code 11385,,264,,zip code 11385,2018,Number,106717.0,11385,264,Unknown,,16865242,2382,11929,787156
zip code 11411,,264,,zip code 11411,2018,Number,20759.0,11411,264,Unknown,,16865242,2382,11929,787156
zip code 11412,,264,,zip code 11412,2018,Number,37458.0,11412,264,Unknown,,16865242,2382,11929,787156
zip code 11413,,264,,zip code 11413,2018,Number,42443.0,11413,264,Unknown,,16865242,2382,11929,787156
zip code 11414,,264,,zip code 11414,2018,Number,29219.0,11414,264,Unknown,,16865242,2382,11929,787156
zip code 11415,,264,,zip code 11415,2018,Number,19372.0,11415,264,Unknown,,16865242,2382,11929,787156
zip code 11416,,264,,zip code 11416,2018,Number,27125.0,11416,264,Unknown,,16865242,2382,11929,787156
zip code 11417,,264,,zip code 11417,2018,Number,31927.0,11417,264,Unknown,,16865242,2382,11929,787156
zip code 11418,,264,,zip code 11418,2018,Number,38517.0,11418,264,Unknown,,16865242,2382,11929,787156
zip code 11419,,264,,zip code 11419,2018,Number,49618.0,11419,264,Unknown,,16865242,2382,11929,787156
zip code 11420,,264,,zip code 11420,2018,Number,48489.0,11420,264,Unknown,,16865242,2382,11929,787156
zip code 11421,,264,,zip code 11421,2018,Number,41002.0,11421,264,Unknown,,16865242,2382,11929,787156
zip code 11422,,264,,zip code 11422,2018,Number,32082.0,11422,264,Unknown,,16865242,2382,11929,787156
zip code 11423,,264,,zip code 11423,2018,Number,31400.0,11423,264,Unknown,,16865242,2382,11929,787156
zip code 11426,,264,,zip code 11426,2018,Number,20801.0,11426,264,Unknown,,16865242,2382,11929,787156
zip code 11427,,264,,zip code 11427,2018,Number,24037.0,11427,264,Unknown,,16865242,2382,11929,787156
zip code 11428,,264,,zip code 11428,2018,Number,18929.0,11428,264,Unknown,,16865242,2382,11929,787156
zip code 11429,,264,,zip code 11429,2018,Number,27403.0,11429,264,Unknown,,16865242,2382,11929,787156
zip code 11430,,264,,zip code 11430,2018,Number,198.0,11430,264,Unknown,,16865242,2382,11929,787156
zip code 11432,,264,,zip code 11432,2018,Number,62053.0,11432,264,Unknown,,16865242,2382,11929,787156
zip code 11433,,264,,zip code 11433,2018,Number,36489.0,11433,264,Unknown,,16865242,2382,11929,787156
zip code 11434,,264,,zip code 11434,2018,Number,65791.0,11434,264,Unknown,,16865242,2382,11929,787156
zip code 11435,,264,,zip code 11435,2018,Number,59296.0,11435,264,Unknown,,16865242,2382,11929,787156
zip code 11436,,264,,zip code 11436,2018,Number,20077.0,11436,264,Unknown,,16865242,2382,11929,787156
zip code 11691,,264,,zip code 11691,2018,Number,67094.0,11691,264,Unknown,,16865242,2382,11929,787156
zip code 11692,,264,,zip code 11692,2018,Number,20991.0,11692,264,Unknown,,16865242,2382,11929,787156
zip code 11693,,264,,zip code 11693,2018,Number,12919.0,11693,264,Unknown,,16865242,2382,11929,787156
zip code 11694,,264,,zip code 11694,2018,Number,21354.0,11694,264,Unknown,,16865242,2382,11929,787156
zip code 11697,,264,,zip code 11697,2018,Number,3540.0,11697,264,Unknown,,16865242,2382,11929,787156
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2019,Number,66437.96901,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2019,Number,98076.03099,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2019,Number,167128.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2019,Number,111490.3113,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2019,Number,55799.68867,105,100,Manhattan,garment district,176155,1535202,298,1727069
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2019,Number,148482.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2019,Number,179682.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2019,Number,216874.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2019,Number,132837.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2019,Number,136351.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2019,Number,111452.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2019,Number,204096.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2019,Number,93458.15468,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2019,Number,53365.84532,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2019,Number,84605.54904,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2019,Number,140906.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2019,Number,138209.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2019,Number,88324.45096,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2019,Number,151684.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2019,Number,104149.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2019,Number,178339.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2019,Number,110883.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2019,Number,125155.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2019,Number,149128.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2019,Number,151308.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2019,Number,133346.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2019,Number,144306.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2019,Number,127550.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2019,Number,180811.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2019,Number,114043.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2019,Number,130783.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2019,Number,128327.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2019,Number,106258.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2019,Number,121925.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2019,Number,186959.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2019,Number,153470.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2019,Number,115277.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
